recv_wall_ns,send_wall_ns,delay_ms,sim_s,seq,veh,edge,x,y,speed,bytes
1761732231443549000,1761732231442205000,1.344,25.000,55,veh1,:2246173338_0,2736.320,880.340,14.460,334
1761732231443549000,1761732231442486000,1.063,25.000,56,veh2,215189962,1062.770,789.390,12.990,334
1761732231443549000,1761732231442757000,0.792,25.000,57,veh3,215210648#0,3048.460,1385.560,12.210,334
1761732231443549000,1761732231443084000,0.465,25.000,58,veh5,-215198278,2354.940,1159.710,13.950,334
1761732231443549000,1761732231443473000,0.076,25.000,59,veh6,1137177667,1591.410,1320.180,1.430,334
1761732231464157000,1761732231463085000,1.072,26.000,60,veh1,215198324#1,2722.310,884.070,14.500,332
1761732231464157000,1761732231463321000,0.836,26.000,61,veh2,215189962,1063.900,777.510,11.940,332
1761732231464157000,1761732231463590000,0.567,26.000,62,veh3,215210648#0,3047.510,1372.440,13.160,332
1761732231464157000,1761732231463870000,0.287,26.000,63,veh5,-215198278,2356.440,1174.630,14.990,332
1761732231464157000,1761732231464082000,0.075,26.000,64,veh6,1137177667,1588.690,1323.160,4.030,332
1761732231487232000,1761732231485648000,1.584,27.000,65,veh1,215198324#1,2708.630,887.720,14.150,397
1761732231487232000,1761732231485971000,1.261,27.000,66,veh2,215189962,1065.030,765.710,11.860,397
1761732231487232000,1761732231486254000,0.978,27.000,67,veh3,215210648#0,3046.550,1359.240,13.230,397
1761732231487232000,1761732231486530000,0.702,27.000,68,veh5,-215198278,2357.870,1188.310,13.750,397
1761732231487232000,1761732231486809000,0.423,27.000,69,veh6,1137177667,1584.490,1327.730,6.210,397
1761732231487232000,1761732231487131000,0.101,27.000,70,veh7,1239033319,1558.530,858.130,0.000,397
1761732231508447000,1761732231507003000,1.444,28.000,71,veh1,:2246173340_0,2695.020,891.340,14.080,399
1761732231508447000,1761732231507272000,1.175,28.000,72,veh2,215189962,1066.200,753.520,12.250,399
1761732231508447000,1761732231507528000,0.919,28.000,73,veh3,215210648#0,3045.600,1346.160,13.120,399
1761732231508447000,1761732231507800000,0.647,28.000,74,veh5,-215198278,2359.420,1203.120,14.900,399
1761732231508447000,1761732231508085000,0.362,28.000,75,veh6,1137177667,1578.640,1334.080,8.630,399
1761732231508447000,1761732231508379000,0.068,28.000,76,veh7,1239033319,1558.110,856.190,1.990,399
1761732231530062000,1761732231528469000,1.593,29.000,77,veh1,215198324#2,2681.360,894.970,14.140,398
1761732231530062000,1761732231528752000,1.310,29.000,78,veh2,215189962,1067.280,741.820,11.750,398
1761732231530062000,1761732231529183000,0.879,29.000,79,veh3,215210648#0,3044.610,1332.490,13.700,398
1761732231530062000,1761732231529438000,0.624,29.000,80,veh5,-215198278,2360.910,1217.380,14.330,398
1761732231530062000,1761732231529698000,0.364,29.000,81,veh6,1137177667,1575.760,1344.220,10.670,398
1761732231530062000,1761732231529957000,0.105,29.000,82,veh7,1239033319,1557.380,852.790,3.480,398
1761732231551026000,1761732231549546000,1.480,30.000,83,veh1,215198324#2,2668.500,899.380,13.600,401
1761732231551026000,1761732231549947000,1.079,30.000,84,veh2,215189962,1068.390,729.770,12.100,401
1761732231551026000,1761732231550216000,0.810,30.000,85,veh3,215210648#0,3043.680,1319.610,12.920,401
1761732231551026000,1761732231550478000,0.548,30.000,86,veh5,-215198278,2362.040,1228.100,10.780,401
1761732231551026000,1761732231550739000,0.287,30.000,87,veh6,:1318413951_2,1577.860,1356.890,13.090,401
1761732231551026000,1761732231550957000,0.069,30.000,88,veh7,1239033319,1556.570,847.370,5.490,401
1761732231571466000,1761732231570484000,0.982,31.000,89,veh1,215198324#2,2655.760,903.780,13.480,396
1761732231571466000,1761732231570671000,0.795,31.000,90,veh2,215189962,1069.530,717.360,12.460,396
1761732231571466000,1761732231570843000,0.623,31.000,91,veh3,215210648#0,3042.690,1305.990,13.650,396
1761732231571466000,1761732231571032000,0.434,31.000,92,veh5,-215198278,2362.780,1235.230,7.180,396
1761732231571466000,1761732231571210000,0.256,31.000,93,veh6,433544177,1579.730,1369.820,13.080,396
1761732231571466000,1761732231571390000,0.076,31.000,94,veh7,1239033319,1556.920,840.440,6.970,396
1761732231596553000,1761732231592629000,3.924,32.000,95,veh1,215198324#2,2642.420,908.380,14.100,400
1761732231596553000,1761732231592917000,3.636,32.000,96,veh2,215189962,1070.650,705.230,12.180,400
1761732231596553000,1761732231593191000,3.362,32.000,97,veh3,215210648#0,3041.750,1293.100,12.920,400
1761732231596553000,1761732231593447000,3.106,32.000,98,veh5,:12254690630_2,2362.890,1242.340,7.160,400
1761732231596553000,1761732231593691000,2.862,32.000,99,veh6,433544177,1582.230,1378.020,8.580,400
1761732231596553000,1761732231593940000,2.613,32.000,100,veh7,1239033319,1556.340,832.200,8.370,400
1761732231615844000,1761732231613778000,2.066,33.000,101,veh1,215198324#2,2629.690,912.770,13.470,407
